Survived,Pclass,Age,SibSp,Parch,Ticket,Fare,Cabin,FamilyCount,IsReverend,Embarked_C,Embarked_Q,Embarked_S,IsMale,Title
0,3,22.0,1,0,A/5 21171,7.25,¯\(ツ)/¯,1,0,0,0,1,1,Mr
1,1,38.0,1,0,PC 17599,71.2833,C85,1,0,1,0,0,0,Mrs
1,3,26.0,0,0,STON/O2. 3101282,7.925,¯\(ツ)/¯,0,0,0,0,1,0,Miss
1,1,35.0,1,0,113803,53.1,C123,1,0,0,0,1,0,Mrs
0,3,35.0,0,0,373450,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,,0,0,330877,8.4583,¯\(ツ)/¯,0,0,0,1,0,1,Mr
0,1,54.0,0,0,17463,51.8625,E46,0,0,0,0,1,1,Mr
0,3,2.0,3,1,349909,21.075,¯\(ツ)/¯,4,0,0,0,1,1,Master
1,3,27.0,0,2,347742,11.1333,¯\(ツ)/¯,2,0,0,0,1,0,Mrs
1,2,14.0,1,0,237736,30.0708,¯\(ツ)/¯,1,0,1,0,0,0,Mrs
1,3,4.0,1,1,PP 9549,16.7,G6,2,0,0,0,1,0,Miss
1,1,58.0,0,0,113783,26.55,C103,0,0,0,0,1,0,Miss
0,3,20.0,0,0,A/5. 2151,8.05,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,39.0,1,5,347082,31.275,¯\(ツ)/¯,6,0,0,0,1,1,Mr
0,3,14.0,0,0,350406,7.8542,¯\(ツ)/¯,0,0,0,0,1,0,Miss
1,2,55.0,0,0,248706,16.0,¯\(ツ)/¯,0,0,0,0,1,0,Mrs
0,3,2.0,4,1,382652,29.125,¯\(ツ)/¯,5,0,0,1,0,1,Master
1,2,,0,0,244373,13.0,¯\(ツ)/¯,0,0,0,0,1,1,Mr
0,3,31.0,1,0,345763,18.0,¯\(ツ)/¯,1,0,0,0,1,0,Mrs
1,3,,0,0,2649,7.225,¯\(ツ)/¯,0,0,1,0,0,0,Mrs
0,2,35.0,0,0,239865,26.0,¯\(ツ)/¯,0,0,0,0,1,1,Mr
1,2,34.0,0,0,248698,13.0,D56,0,0,0,0,1,1,Mr
